icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
aa56db,UAL2365 ,United States,1560302899,1560302899,-115.2024,36.0737,853.44,false,81.29,89.27,-3.25,,,845.82,4644,false
88044a,AIQ3369 ,Thailand,1560302900,1560302900,101.8779,14.8072,8503.92,false,215.48,246.8,-11.05,,,9174.48,4533,false
aa56da,UAL2204 ,United States,1560302900,1560302900,-87.2504,42.0759,4351.02,false,215.55,90.27,14.63,,,4434.84,7204,false
7c6b41,JST293  ,Australia,1560302899,1560302900,174.4605,-37.521,4709.16,false,198.42,201.44,11.05,,,4716.78,5636,false
7c6b40,JST793  ,Australia,1560302900,1560302900,148.9596,-32.4001,10355.58,false,209.33,219.72,0,,,10843.26,1004,false
a6b5a2,N681C   ,United States,1560302900,1560302900,-97.3269,31.2654,1638.3,false,84.8,31.86,0,,,1691.64,1200,false
a3b87f,DAL1671 ,United States,1560302899,1560302899,-73.9825,40.9944,3482.34,false,167.46,312.76,5.53,,,3589.02,1655,false
a2e5de,HGT4225 ,United States,1560302900,1560302900,-122.5625,42.7019,10980.42,false,244.53,354.33,0.33,,,11460.48,3702,false
8a02ff,,Indonesia,,1560302899,,,,false,126.08,275.38,-6.83,,,,6325,false
880453,AIQ3253 ,Thailand,1560302735,1560302751,100.6162,13.9333,3063.24,false,69.96,208.07,-4.23,,,129.54,1261,false
3c4047,,Germany,1560302761,1560302761,13.5047,52.3674,,true,2.57,163,,,,,,false
a9f084,N74DH   ,United States,1560302899,1560302900,-97.2224,32.7654,3017.52,false,174.54,258.96,3.25,,,3154.68,0575,false
aa56d5,UAL2418 ,United States,1560302896,1560302899,-82.3094,43.3453,10972.8,false,200.97,285.74,0,,,11117.58,7137,false
aa8c1b,SWA2025 ,United States,1560302898,1560302900,-86.052,41.8147,8991.6,false,260.59,77.23,6.5,,,9182.1,1327,false
4b1800,SWR179B ,Switzerland,1560302895,1560302898,6.1058,46.2318,,true,0,0,,,,,,false
acdfa6,AAL2014 ,United States,1560302696,1560302899,-104.7133,34.4612,10668,false,236.38,87.38,0.33,,,11170.92,1632,false
7c6b31,JST224  ,Australia,1560302898,1560302899,167.6062,-44.824,7528.56,false,221.25,291.55,9.75,,,7513.32,0223,false
7c6b30,JST563  ,Australia,,1560302900,,,,false,0.26,115,,,,,,false
880448,AIQ3370 ,Thailand,1560302900,1560302900,102.1197,14.2322,8839.2,false,218.88,68.92,0.33,,,9464.04,4222,false
3c4050,RM303   ,Germany,1560302754,1560302754,8.5483,50.0286,,true,10.8,168,,,,,,false
aaef60,AAL393  ,United States,1560302900,1560302900,-97.1722,32.7813,3322.32,false,133.31,28.84,-0.98,,,3482.34,3250,false
880443,AIQ3308 ,Thailand,1560302900,1560302900,100.306,14.1803,4472.94,false,202.6,353.15,14.31,,,4709.16,4203,false
318d35,,Italy,,1560302815,,,,false,6.69,267,,,,,,false
a83e06,CPZ5846 ,United States,1560302899,1560302899,-102.7552,39.3541,10363.2,false,201.14,283.61,0,,,10690.86,,false
7c6b35,JST438  ,Australia,1560302900,1560302900,145.3844,-36.943,7117.08,false,204.98,39.6,7.15,,,7299.96,1450,false
a7d5a5,N6036Y  ,United States,1560302614,1560302705,-81.2615,29.8411,754.38,false,47.85,181.23,-1.63,,,784.86,5545,false
ae1fc8,01172185,United States,1560302900,1560302900,-97.0878,30.6243,1036.32,false,65.54,42.46,0.33,,,1066.8,2407,false
a4b21b,UAL781  ,United States,1560302895,1560302899,-94.6993,41.7069,11590.02,false,208.9,264.21,-0.33,,,11765.28,2004,false
318d07,,Italy,,1560302684,,,,false,8.23,261,,,,,,false
aa8c16,N779SR  ,United States,1560302897,1560302897,-120.1452,38.838,2827.02,false,83.74,81.52,0.65,,,2811.78,5061,false
a5954e,UAL665  ,United States,1560302900,1560302900,-77.2973,39.6871,8542.02,false,217.51,234.92,0,,,8869.68,3301,false
a950fd,N7MP    ,United States,1560302898,1560302900,-86.1897,39.068,2689.86,false,88.89,150.91,0,,,2766.06,3134,false
a7ceb2,PDT4804 ,United States,1560302899,1560302900,-75.3257,39.8061,853.44,false,121.64,215.71,12.35,,,883.92,7153,false
c01aa7,ACA781  ,Canada,1560302898,1560302899,-113.5595,39.2183,10972.8,false,232.14,253.65,0,,,11513.82,6210,false
a4b228,UPS1349 ,United States,1560302899,1560302900,-82.9024,28.5387,6477,false,219.87,336.85,8.78,,,6804.66,3775,false
aa8c10,SKW5576 ,United States,1560302896,1560302899,-120.573,35.2422,8534.4,false,241.3,316.81,-0.33,,,8526.78,6713,false
ae1fb5,72166   ,United States,1560302898,1560302899,-115.173,36.0959,723.9,false,23.67,181.25,0.33,,,716.28,4222,false
aa56b8,UAL788  ,United States,1560302899,1560302899,-94.4283,39.9592,11887.2,false,244.02,82.25,0,,,12085.32,2033,false
7c6b09,JST931  ,Australia,1560302514,1560302695,153.1325,-27.3777,-91.44,false,0.51,306,,,,15.24,4543,false
ad5628,,United States,,1560302845,,,,false,8.3,299.74,-0.33,,,,,false
abc6ce,N858TW  ,United States,1560302892,1560302893,-118.0219,34,754.38,false,80.91,277.31,0,,,754.38,4670,false
a33b23,UPS9873 ,United States,1560302899,1560302900,-81.1651,28.0378,10066.02,false,251.13,325.85,2.6,,,10591.8,,false
a1025a,UPS8620 ,United States,1560302899,1560302900,-121.0864,38.6391,3474.72,false,170.97,38.53,7.48,,,3467.1,4517,false
8a02ca,AWQ262  ,Indonesia,1560302890,1560302890,104.1882,1.2682,2598.42,false,129.97,23.32,-6.18,,,2964.18,2357,false
a46e35,DAL2496 ,United States,1560302814,1560302889,-73.19,42.6197,9113.52,false,278.68,80.97,-10.4,,,9685.02,7215,false
c822e4,ANZ616  ,New Zealand,1560302900,1560302900,174.6045,-38.9497,11269.98,false,226.78,8.48,-4.55,,,11292.84,5547,false
a0e249,UPS1333 ,United States,1560302900,1560302900,-81.9335,30.1315,11269.98,false,249.48,343.1,-0.33,,,11910.06,2623,false
7c6b12,JST960  ,Australia,1560302625,1560302629,145.2378,-17.5014,5806.44,false,200.62,15.93,-8.45,,,6248.4,1547,false
adeca5,AAL873  ,United States,1560302900,1560302900,-93.9039,40.4071,10058.4,false,252.82,82.28,0.33,,,10248.9,7021,false
a2228b,ASA447  ,United States,1560302334,1560302855,-122.3181,47.4414,76.2,true,6.94,135,,,,,7343,false
aa9f1c,SWA1701 ,United States,1560302899,1560302899,-91.6182,41.6403,11582.4,false,203.91,260.56,0,,,11742.42,1415,false
abacd2,UAL1955 ,United States,1560302690,1560302780,-93.8285,31.8518,11742.42,false,259.4,52.49,5.53,,,12252.96,,false
ad4f72,JBU993  ,United States,1560302900,1560302900,-90.7472,40.0821,10355.58,false,205.29,282.89,0.33,,,10576.56,4602,false
a47597,DAL2435 ,United States,1560302897,1560302899,-87.023,39.0138,9144,false,212.12,265.41,0,,,9425.94,2706,false
e49443,AZU2489 ,Brazil,1560302900,1560302900,-45.2748,-21.1318,11574.78,false,206.71,216.5,0,,,12237.72,,false
e49444,AZU2456 ,Brazil,1560302899,1560302899,-44.6346,-20.6625,8793.48,false,255.6,26.67,-18.21,,,9357.36,1227,true
a3fec0,N3569X  ,United States,1560302898,1560302898,-82.6831,39.4511,3002.28,false,72.04,276.97,0,,,3070.86,,false
3c4002,S261    ,Germany,1560302769,1560302769,13.5204,52.3905,,true,1.29,331,,,,,,false
ab0361,AAL9631 ,United States,1560302641,1560302645,-80.8265,35.1499,1821.18,false,118.54,176.52,-10.73,,,2209.8,3702,false
abb3b6,AAL358  ,United States,1560302900,1560302900,-80.7122,41.5036,11277.6,false,276.62,97.59,0.33,,,11551.92,3201,false
abf008,SWA5920 ,United States,1560302900,1560302900,-78.6979,40.5098,10492.74,false,271.49,99.16,-13.66,,,10896.6,6541,false
8a02af,CTV928  ,Indonesia,1560302899,1560302899,100.4656,1.5419,7139.94,false,206.31,133.69,-11.05,,,7658.1,0537,false
e80268,LPE2376 ,Chile,1560302899,1560302899,-48.7364,-23.084,10363.2,false,224.19,289.02,0,,,10980.42,0173,false
